Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,venda,oferecendo serviço,>1,,,J. Bouis,M,,,,M/F,,,escravo,"Rua do Ouvidor, 90",,"J. BOUIS faz leilão hoje, em sua casa, rua do Ouvidor n. 90, de huma grande porção de escravos de ambos os sexos, constando de pretos de roça, ditos com officios, como carpinteiros, pedreiros, cozinheiros, pretas de roça, mocambas, costureiras, engommadeiras, lavadeiras, lindos moleques para pagens, e para aprenderem officio; negrinhas proprias para mocambas, os quaes sera arrematados impreterivelmente, por ser para saldo de varias contas. A's 10 1/2 horas.",,,,,,,,,,,,,,,,
2,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,aluguel,oferecendo serviço,1,,,,,,,,M/F,,preto,,"Largo da Sé, 7",,"ALUGA-SE hum preto, o qual he aleijado de huma perna, e por isso o seu aluguel he commodo; trata-se no largo da Sé n. 7.",,,,,,,,,,,,,,,,
3,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,venda,oferecendo serviço,1,,,,,marinheiro,,,M,,preto,escravo,"Rua do Sabão, 67",,"VENDE-SE hum preto marinheiro de governo, que cose panno; na rua do Sabão n. 67.",,,,,,,,,,,,,,,,
4,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Rua da Cadêa, 54",,"VENDE-SE huma bonita preta de 12 annos, prendada, para fora da cidade; na rua da Cadêa, sobrado, n. 54",,,,,,,,,,,,,,,,
5,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,venda,oferecendo serviço,1,,,,,,,,F,19,preta,escrava,"Rua da Cadêa, 106",,"VENDE-SE huma mocamba recolhida, de 19 annos, de bonita figura e prendada; o motivo se dirá ao comprador; na rua da Cadêa, n. 106.",,,,,,,,,,,,,,,,
6,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,fuga,oferecendo serviço,1,,,,,,Silvestre,,M,30,preto,escravo,"Rua da Quitanda, 99",,"Fugio, no dia 28 do corrente, o preto Silvestre, de mais de 30 annos de idade, testiculos inchados; suppõe-se que ainda conserve huma licença por escripto. que lhe deu sua senhora para quitandar. Quem o conduzir á rua da Quitanda n. 99 será gratificado.",,,,,,,,,,,,,,,,
7,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,compra,procurando serviço,2,,,,,sapateiro,,,M,,preto,escravo,"Rua de São Pedro, 91",,"COMPRÃO-SE dous pretos sapateiros, que corem e façao toda a obra, e outro pedreiro, que seja bom, sendo todos para irem para fóra desta cidade; na rua de S. Pedro n. 91.",,,,,,,,,,,,,,,,
8,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,compra,procurando serviço,1,,,,,pedreiro,,,M,,preto,escravo,"Rua de São Pedro, 91",,"COMPRÃO-SE dous pretos sapateiros, que corem e façao toda a obra, e outro pedreiro, que seja bom, sendo todos para irem para fóra desta cidade; na rua de S. Pedro n. 91.",,,,,,,,,,,,,,,,
9,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,venda,oferecendo serviço,1,,,,,"costureira, lavadeira, engomadeira",,,F,,preta,escrava,"Rua do Lavradio, 134",,"VENDE-SE huma preta de nação, que sabe coser, lavar e engommar; na rua do Lavradio n. 134, loja.",,,,,,,,,,,,,,,,
10,Jornal do Commercio,319,4,http://memoria.bn.br/DocReader/364568_03/1264,1-Dec-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,,"Rua do Livramento, 4",,"ALUGA-SE huma preta criada, boa ama de leite, da primeira barriga; na rua Nova do Livramento n. 4, a sahir ao mar",,,,,,,,,,,,,,,,
