Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,venda,oferecendo serviço,>1,,,,,"roceiro, mocambos, pajens, costureiras, engomadeiras, cozinheiros",,,F/ M,,preto/ pardinho,escravo/ escrava,"Rua do Ouvidor, 40",,"Jh. BOUIS faz leilão hoje, na sua casa, rua do Ouvidor n.90, de huma grande porção de escravos de ambos os sexos, constando de pretos de roça, mocambos, pagens, moleques, costureiras, engommadeiras, alguns cozinheiros, hum pardinho e muitos outros que serão vendidos com condições de saude e boas vendas.",,,,,,,,,,,,,,,,
2,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,venda,oferecendo serviço,1,,,,,mocamba,,,F ,16,,escrava,"Rua São Cristóvão, 129",,"AUGUSTO DESHAYES (agente) faz leilão, domingo 3 de maio, na rua de S. Christovão n. 129, por conto do IIIm. Sr. DomingosJosé da Costa, de todas as propriedades de casa, trastes, moveis, casquinha, cristaes e escravos pertencentes aos mesmos senhores, a saber: Huma mocamba de 16 annos, de boa conducta e saude. Huma preta perfeita costureira e engommadeira. Hum moleque coim principios de sapateiro.",,,,,,,,,,,,,,,,
3,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,venda,oferecendo serviço,1,,,,,costureira e engomadeira,,,F,,preta,escrava,"Rua São Cristóvão, 129",,"AUGUSTO DESHAYES (agente) faz leilão, domingo 3 de maio, na rua de S. Christovão n. 129, por conto do IIIm. Sr. DomingosJosé da Costa, de todas as propriedades de casa, trastes, moveis, casquinha, cristaes e escravos pertencentes aos mesmos senhores, a saber: Huma mocamba de 16 annos, de boa conducta e saude. Huma preta perfeita costureira e engommadeira. Hum moleque coim principios de sapateiro.",,,,,,,,,,,,,,,,
4,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,venda,oferecendo serviço,1,,,,,sapateiro,,,M,,,escravo,"Rua São Cristóvão, 129",,"AUGUSTO DESHAYES (agente) faz leilão, domingo 3 de maio, na rua de S. Christovão n. 129, por conto do IIIm. Sr. DomingosJosé da Costa, de todas as propriedades de casa, trastes, moveis, casquinha, cristaes e escravos pertencentes aos mesmos senhores, a saber: Huma mocamba de 16 annos, de boa conducta e saude. Huma preta perfeita costureira e engommadeira. Hum moleque com principios de sapateiro.",,,,,,,,,,,,,,,,
5,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,venda,oferecendo serviço,1,,,,,oficial de pedreiro,,,M,,preto,escravo,"Rua da Vala, 89",,"VENDE-SE na rua da Valla, n.89 hum preto perfeito official de pedreiro de toda obra: affiança-se não ter vicios, nem molestias.",,,,,,,,,,,,,,,,
6,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,fuga,,1,,,,,,Cypriano,,M,20-25,preto,escravo,"Rua dos Ourives, 49",,"Fugio, no dia 29 do corrente, pelas 10 horas da manhã, hum preto crioulo, de nome Cypriano, idade 20 a 25 annos: levou vestido camiza de algodão americano, calças grossas cor de cinza, hum cesto com pão, e huma manta de algodão cor de cinza, com signaes de bexigas na cara, e os pés chalos: quem o levar a rua dos Ourives, n.49, padaria, receberá alviçaras.",,,,,,,,,,,,,,,,
7,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,fuga,,1,,,,,,Joaquim,Moçambique,M,20-25,preto,escravo,"Rua dos Ourives, 49",,"Fugio, de Santa Thereza, no dia 22 do mez passado, indo cortar capim, hum preto de nação moçambique, de nome Joaquim, idade 20 a 25 annos: levou vestido camisa de chila, com signaes seguintes: corpo bem feito, muito reforçado, cara meia seria, com muita carne sobre os olhos, fulga-se que foi para Maricá, porque já lá esteve muito tempo em huma fazenda: quem o mesmo levar a rua dos Ourives, n. 49, receberá alviçaras.",,,,,,,,,,,,,,,,
8,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,aluguel,oferecendo serviço,1,,,,,"lavadeira, engomadeira, cozinheira",,crioula,F,,,escrava,"Rua da Ajuda, 116",,"ALUGA-SE huma crioula que sabe lavar, engommar, coser, cozinhar, e tratar bem de crianças, para portas a dentro; na rua da Ajuda n. 116.",,,,,,,,,,,,,,,,
9,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Rua do Valongo, 60",,"VENDE-SE huma preta rapariga, de linda figura, propria para qualquer serviço a que se queira applicar: na rua de Valongo, n. 60.",,,,,,,,,,,,,,,,
10,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/460,1-May-1840,aluguel,oferecendo serviço,1,,,,,,,nação,M,30,,escravo,"Rua de São Pedro, 138",,"VENDE-SE hum escravo de nação, de idade 30 annos: quem delle precisar dirija-se a rua de S. Pedro n. 138, que se dará por modico preço.",,,,,,,,,,,,,,,,
11,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,aluguel,oferecendo serviço,1,8$000 ,month,,,,,,F,,preta,escrava,"Rua dos Latoeiros, 77",,ALUGA-SE na rua dos Latoeiros n.77 huma preta pelo modico preço de oito mil réis mensaes.,,,,,,,,,,,,,,,,
12,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,compra,procurando serviço,1,,,,,cozinheiro,,,M,,preto,escrava,"Rua dos Latoeiros, 62",,PRECISA-SE de hum preto cozinheiro na rua dos Latoeiros n. 62.,,,,,,,,,,,,,,,,
13,Jornal do Commercio,114,4,http://memoria.bn.br/docreader/364568_03/456,1-May-1840,fuga,,1,,,,,,Izidoro,Cabinda,M,26,preto,escravo,"Fazenda da Barra da Tijuca ou Rua do Ouvidor, 60",,"Fugiu da fazenda da Barra da Tijuca, hum preto chamado Izidoro, de nação Cabinda, com os signaes seguintes: idade 26 annos, cor muito preta, camisa de algodão americano fino, nova, calça de riscado encarnado na cabeça, tudo novo: cara, olho e cabeça feridos novamente, e a cabeça meio raspada: quem o entregar na fazenda acima, ou na rua do Ouvidor n. 60, receberá alviçaras e pagar-se-lhe-hão todas as despezas que com elle tiver feito.",,,,,,,,,,,,,,,,
14,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,aluguel,oferecendo serviço,1,,,,,engomadeira e cozinheira,,,F,,preta,escrava,"Rua do Rosário, 144",,"ALUGA-SE, para porta a dentro, huma preta engommadeira e cozinheira: na rua do Rozario n. 144.",,,,,,,,,,,,,,,,
