Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
33,Jornal do Commercio ,259,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=rio%20de%20janeiro,1-Oct-1840,fuga,,1,,,Antonio Bernado de Oliveira Pimente,M,,Joaquim,Angola,M,13-14,,ladino,,,"Fugio, no dia 26 do mez p.p., hum moleque de Jacarepaguá, de nome Joaquim nação Angola, com a marca no peito direito de baptismo, idade de 13 a 14 annos, e bastante ladino. Quem delle souber, ou der noticia, pode dirigir-se á casa do lllm. Sr. tenente- coronel Antonio Bernado de Oliveira Pimentel, defronte do escrivão Proença, que lá será gratificado.",,,,,,,,,,,,,,,,
145,Jornal do Commercio,265,4,http://memoria.bn.br/DocReader/364568_03/1048,7-Oct-1840,fuga,,2,,,Antonio Severino da Costa,M,,Felicia/Delfina,Conga/ indefinifo,F/F,indefinido/24,ladina/ parda,livre/ escrava,"Travessa do Desterro, 7",,"Antonio Severino da Costa faz publico que no dia 4 do corrente fugio da sua casa, na travessado Desterro n. 7, huma Africana livre de nome Felicia, nação Conga; levou vestido de riscado azul, tem o dedão grande do pé direito doente, he pouco ladina, e bastante moça: e foi concedida ao annunciante em 23 de abril de 1839, sendo das apprehendidas no brigue escuna Carolina: julga-se que foi seduzida por huma parda , escrava do annunciante, que fugio com ella, a qual se chama Delfina, terá 24 annos de idade, he magra, falla devagar, e levou vestido branco por cima da saia azul de riscado; quem as levar ao n. acima indicado será bem recompensado, protestando-se com todo o rigor das leis contra quem lhes der couto ou outro destino.",,,,,,,,,,,,,,,,
34,Jornal do Commercio,260,3,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=rio%20de%20janeiro,2-Oct-1840,venda,oferecendo serviço,1,,,A. LAWRIE e C.,M,oficial de cavoqueiro,,,M,,preto,escravo,Rua da Direita,,"A. LAWRIE e C. previnem que amanhã sabado 3 do corrente , na rua Direita, farão leilão de diversos moveis, incluindo espelhos e quadros, alguns dos quaes representão objectos memoraveis da India, por conta de huns herdeiros, etc. Na mesma occasião se venderá huma factura de fazendas, obras de prata, relogios, quinquilharias, animaes, e mais A's 10 1/2 horas. Tambem de hum preto official de cavoqueiro, de huma pessoa que se retira para a Bahia.",,,,,,,,,,,,,,,,
50,Jornal do Commercio,261,3,http://memoria.bn.br/DocReader/364568_03/1031,3-Oct-1840,venda,oferecendo serviço,1,,,A. LAWRIE e C.,M,oficial de cavoqueiro,,,M,,,preto,"Rua Direita, 6",,"A. LAWRIE e C. participão que hoje (...) 3 do corrente, na rua Direita n. 6, ás 10 (...) venderão em leilão 2 piano - forte inglês de ro(...) superiores e hermoniosas, etc: diversas cediras, (...), aparadores, marquezas, commodas, camas, quadros da India, espelhos de gosto, canapés, mesas de jogo, e de engommar, guarda-roupas, etc, etc: diferentes fazendas, sendo mortins, cambrainhá, chales, riscados, metim, brim, madapolão, algodão americano, sedas, fustão, etc: quinquilharias, obras de prata e ouro, como relógios, culheres, (...) relogios de cima da mesa, mui elegantes: alu(...) livros em portuguez, francez e inglez: louça, cristaes, obras de vidro, cavallos, outros animaes, e mais artigos. A's 10 1/2 horas. Tambem de hum preto official de cavoqueiro, etc., de huma pessoa que se retire, etc.",,,,,,,,,,,,,,,,
62,Jornal do do Commercio,260,3,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=rio%20de%20janeiro,3-Oct-1840,venda,oferecendo serviço,>1/5,,,Augusto Desha YS,M,"faqueiro ,frasqueira, mocamba e ama de leite",,,M/F/F/F/F,,preta,escravos,"Rua São José, 44",,"AUGUSTO DESHA YS, a gente , faz leilão hoje 6 feira 2 de outubro, na rua de S. José, n.44, de todos os elegantes moveis, trastes, porcelanas, cristaes, ouro, prata e escravos, pertencentes a dous Hims. e Exm. Srs. deputados que se retirão para as suas provincias, a saber: huma rica cama de casados, obra prima: cadeiras de mogno, obras de talha; mesa de sala dita, mesas de jogos ditas, sofa dita, escrivaninha de jacarandá, obra feita em Londres: aparador de sala de jantar, huma mobilia completa de mogno, guareição de veludo azul; mesa de jantar, aparadores de jacaranda, hum riquissimo refrescador, espelhos francezes , quadros, cadeiras de sala de jantar,camas de casados, marquezas de Jacarandá com colchão de elina, huma riquissima cadeira de oseriptorlo, hum riquissimo serviço de cristal, composto de copos para cerveja e oara vinho, ditos para agua: garfos, etc, etc: vasos de flores, relogios de cima de mesas, guardaroupa de mogno ( chiffonniére) hum piano de Stedart, hum riquissimo quadro de Adeos de Fontalhebleau ou a despedida do imperador Napoleão á sua guarda: faqueiro necessario de viagem , frasqueira, huma mocamba, huma ama de leite, huma preta para o será vendido impreterivelmente . Principiará ás 3 horas da tarde.",,,,,,,,,,,,,,,,
81,Jornal do Commercio,263,3,http://memoria.bn.br/DocReader/364568_03/1039,5-Oct-1840,venda,oferecendo serviço,5,,,Augusto Desha YS,M,"mocamba, cozinheiros",,,F/ F/F/M/M,,pretas/ pretos,escravos,"Rua Dom José, 44",,"AUGUSTO DESHA YS, a gente , faz leilão amanhã 6 de outubro, na rua de D. Jose n. 44, de todos os elegantes moveis, trastes, porcelanas, cristaes, ouro, prata e escravos, pertencentes a dous lllma, e Exms, Srs. deputados que se retiirão para as suas provincias, a saber: huma rica cama de casados, cadeiros de mogno, obra de talha; mesa de sala dita, mesas de jogo ditas, sofa dito, escrevaninha de jacarandá, obra feita em Londres: aparador de sala de jantar; huma mobilia completa de mogno, guarnição de veludo azul: mesa de jantar, aparadores de jacarandá, espelhos francezes, quadros, cadeiras, de sala de jantar, marquezas de jacarandá com colchão de elina , huma riquissima cadeira de esciptorio, hum rico serviço de cristal, composto de copos para cerveja e para vinho, ditos para agua: vasos de flores, relogios de cima de mesa, hum piano de Stodart, hum dito rico inglez, hum riquissimo quadro de Adeos de Fortaine bleau, ou a despedida do imperador Napoleão á sua guarda; fresqueira; huma mocamba, duas pretas, hum preto para serviço de casa e hum dito cozinheiros: algumas joias, etc,etc. Tudo será vendido impretivelmente. Principiará ás 3 horas da tarde. Este leilão, annunciado para 6° feira proxima passada, não pôde ter lugar em consequencia da grande chuva.",,,,,,,,,,,,,,,,
95,Jornal do Commercio,264,4,http://memoria.bn.br/DocReader/364568_03/1044,6-Oct-1840,venda,oferecendo serviço,5,,,Augusto Desha YS,M,"mocamba, faz todo o serviço de casa/ cozinheiros",,,F/ F/F/M/M,,pretos/ pretas,escravos,"Rua de São José, 44",,"AUGUSTO DESHAYS, agente faz leilão amanhã 6 de outubro, na rua de S. José n. 44, de todos os ellegantes moveis, trastes, porcelanas, cristaes, ouro, prata e escravos, pertencentes a dous lllms. e Exms. Srs deputados que se retirão para as suas provincias, a saber: huma rica cama de casados, cadeiras de mogno, obra de talha: mesa de sala dita, mesas de jogo ditas, sofa ditos, escrivaninhas de jacarandá, obra feita em Londres: aparador de sala de jantar; huma mobilia completa de mogno, guarnição de veludo azul; mesa de jantar, aparadores de jacarandá, espelhos francezes, quadros, cadeiras de sala de jantar, marquezas de jacarandá com colehão de elina, huma riquissima cadeira de escriptorio, hum rico serviço de cristal composto de copos para cerveja e para vinho, ditos para água: vasos de flores, relogios de cima da mesa, hum plano de Stodart, hum dito rico iaglez, hum riquissimo quadro do Adeos de Fontaine bieau, ou a despedida do imperador Napoleão á sua guarda: frasqueira: huma mocamba, duas pretas, hum preto para fora do serviço de casa e hum dito cozinheiro: algumas joias. etc, etc, Tudo será vendido impreterivelmente. Principiará ás 3 horas da tarde. Este leilão annunciado para 6° feira proxima passada, não pôde ter lugar em consequencia de grande chuva.",,,,,,,,,,,,,,,,
142,Jornal do Commercio,265,4,http://memoria.bn.br/DocReader/364568_03/1048,7-Oct-1840,fuga,,1,,,Caetano da Silva Lopes,M,,Antonio,Ambeque,M,,,escravo,"Rua do Rozario, 31",,"FUGIO a Caetano da Silva Lopes, no dia 3 do corrente, hum escravo de nome Antonio, nação Ambeque, baixo, grosso, e meio cambaio das pernas, a quem der delles noticia na rua do Rozario n. 31, receberá alviçaras.",,,,,,,,,,,,,,,,
618,Jornal do Commercio,287,3,http://memoria.bn.br/docreader/364568_03/1135,29-Oct-1840,venda,oferecendo serviço,4,,,Cannel Southam e Cia.,M,,,,,,,escravos,"Beco dos Adellos, 1 e 3",,"CANNEL SOUTHAM e C., por ordem dos administradores da casa fallida de Manoel Carvalho de Moura, farão leilão , segunda feira 2 de novembro , no beco dos Adellos ns. 1 e 3, da armação e posse de duas lojas, e de toda a fazenda lá existentes, em lotes pequenos, constando de hum grande sortimento de tudo quanto pertence a negocio de roupa feita e de varejo. Tambem se hão de vender, na mesma ocasião , quatro escravos, e todas as dividas do dito fallido",,,,,,,,,,,,,,,,
634,Jornal do Commercio,288,3,http://memoria.bn.br/docreader/364568_03/1139,30-Oct-1840,venda,oferecendo serviço,4,,,Cannel Southam e Cia.,M,,,,,,,escravos,"Beco dos Adellos, 1 e 3",,"CANNEL SOUTHAM e C., por ordem dos administradores da casa fallida de Manoel Carvalho de Moura, farão leilão , segunda feira 2 de novembro , no beco dos Adellos ns. 1 e 3, da armação e posse de duas lojas, e de toda a fazenda lá existentes, em lotes pequenos, constando de hum grande sortimento de tudo quanto pertence a negocio de roupa feita e de varejo. Tambem se hão de vender, na mesma ocasião , quatro escravos, e todas as dividas do dito fallido",,,,,,,,,,,,,,,,
