Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,"venda
",oferecendo serviço,>1,,,Jh.Bouis,M,,,,M/F,,,escravos,,,"Jh. BOUIS fará leilão, sexta-feira 3 de abril, de huma grande porção de escravos de ambos os sexos, com officios e sem elles, os quaes seráo arrematados com condições de saude e boa venda.",,,,,,,,,,,,,,,,
2,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,"venda
",oferecendo serviço,1,,,,,remador,,,M,,preto,escravo,"Rua de São José, 77, 1 andar",,"VENDE-SE hum preto perfeito remador de falúa, e também governa; na rua de S. José n. 77, 1 andar,",,,,,,,,,,,,,,,,
3,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,venda,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua de Dom Manoel, 44",,"VENDE-SE hum preto rapaz, bonita figura, próprio para qualquer armazém de café, e sabe remar tanto de barco como de fálua; também se vende huma preta mocamba recolhida, de idade 16 annos, que sabe coser, lavar e cozinhar o ordinario: quem os ditos quizer comprar dirija-se á rua de D. Manoel n. 44",,,,,,,,,,,,,,,,
4,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,venda,oferecendo serviço,1,,,,,,,,F,16,preta,escravo,"Rua de Dom Manoel, 44",,"VENDE-SE hum preto rapaz, bonita figura, próprio para qualquer armazém de café, e sabe remar tanto de barco como de fálua; também se vende huma preta mocamba recolhida, de idade 16 annos, que sabe coser, lavar e cozinhar o ordinario: quem os ditos quizer comprar dirija-se á rua de D. Manoel n. 44",,,,,,,,,,,,,,,,
5,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,aluguel,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua do Cano, 29",,"ALUGA-SE hum preto, na rua do Cano n. 29",,,,,,,,,,,,,,,,
6,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,aluguel,oferecendo serviço,1,,,,,criada,,,F,,preta,escravo,"Rua de Dom Manoel, 20 A",,"ALUGA-SE, na rua de D. Manoel n. 20 A, huma preta para o serviço de portas a dentro, a qual sabe lavar, engommar, coser e cozinhar o ordinario de huma casa.",,,,,,,,,,,,,,,,
7,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,fuga,procurando serviço,1,200,,,,,Rosa,Cabinda,F,13,preta,,"Rua das Violas, 103",,"200$000 RS. de GRATIFICAÇÃO. Fugio ou foi seduzida, da rua das Violas n. 103, no dia 22 de janeiro p. p., huma negrinha de nome Rosa, nação Cabinda, idade de 13 para 14 annos, com os signaes seguintes: altura regular, cheia do corpo, barriga alta, que parece andar prenhe de 2 mezes, côr retinta, testa alta, pende para hum dos lados com a cabeça quando está fallando; quem della der notícia, ou a levar á rua acima, ou á rua do Rosário n. 51, receberá a quantia acima mencionada",,,,,,,,,,,,,,,,
8,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,fuga,procurando serviço,1,,,,,,,,M,20,preto,,"Rua do Livramento, 58",,"Fugio, no dia 23 de março de 1840, hum moleque de idade de 20 annos, de côr retinta, tendo ao pé do olho huma marca de junco; levou vestido humas calças de riscado trançado, e camisa do mesmo: quem o apprehender e levar á rua nova do Livramento n. 58, será bem gratificado.",,,,,,,,,,,,,,,,
9,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,aluguel,oferecendo serviço,1,,,,,"lavadeira, costureira",,,F,,preta,,"Rua da Prainha, 89",,"ALUGA-SE, na rua da Prainha n. 89, huma preta recolhida, sabendo bem lavar, coser, eengommar; e outra de portas a fôra, sabendo cozinhar, lavar e engommar",,,,,,,,,,,,,,,,
10,Jornal do Commercio,87,4,http://memoria.bn.br/DocReader/364568_03/348,1-Apr-1840,aluguel,procurando serviço,1,,,,,,,,M,,preto,,"Rua da Quitanda, 12",,"PRECISA-SE alugar hum preto ou moleque para todo o serviço, e que entenda de cozinha; na rua da Quitanda n. 12.",,,,,,,,,,,,,,,,
11,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,venda,oferecendo serviço,>1,,,Jh.Bouis,M,,,,M/F,,,escravos,"Rua do Ouvidor, 90",,"Jh.Bouis fará leilao, sexta feira, na sua casa, rua do Ouvidor n. 90, de huma grande quantidade de escravos de ambos os sexos, com officios e sem elles, com condição de saude e boas vendas.
",,,,,,,,,,,,,,,,
