Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,,preto,escravo,Rua da Lapa do Desterro,,"VENDE-SE hum preto cozinheiro de forno e fogão, e se dá muito em conta, na rua da Lapa do desterro.",,,,,,,,,,,,,,,,
2,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,,parda,escravo,"Beco dos Carmelitas, 15",,"VENDE-SE muito em conta huma pardinha que cose, engomma e cozinha, no beco dos Carmelitas n. 15.",,,,,,,,,,,,,,,,
3,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,escrava,"Rua dos Pescadores, 91",,"VENDE-SE huma linda preta, ama de leite do primeiro parto (sem cria), parida há pouco, sabendo engommar liso perfeitamente, cozinhar e coser; e huma linda negrinha de 8 a 9 annos; na rua dos Pescadores n. 91.",,,,,,,,,,,,,,,,
4,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,,"Rua do Sabão, 103",,"ALUGA-SE huma preta com muito bom leite, sendo muito carinhosa para crianças; na rua do Sabão n. 103.",,,,,,,,,,,,,,,,
5,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,fuga,procurando serviço,1,30$000,,,,,Fernando,Monjollo,M,,preto,escravo,"Rua de Dom Manoel, 23",,"Fugio no dia 16 de junho de 1840, hum preto, de nome Fernando, nação Monjollo, mas não tem signal na cara, e os signaes são os seguintes: não tem barba, falla muito embaraçado e tem huma ferida no pé esquerdo acima do tornozelo : quem der noticia e o levar ao porto da ponte de S. Gonçallo, a Manoel Francisco de Moraes, ou na côrte na rua de D. Manoel n. 23, receberá 30$000 de alviçaras.",,,,,,,,,,,,,,,,
6,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,aluguel,oferecendo serviço,1,,,,,"lavadeira, cozinheira, engomadeira",,,F,,preta,,"Rua de Vallongo, 49",,"ALUGA-SE huma preta para o serviço de portas a dentro, sabendo lavar, coser, engommar e cozinhar: na rua de Vallongo n. 49.",,,,,,,,,,,,,,,,
7,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,16,preta,escrava,"Rua da Cadêa, 54",,"VENDE-SE huma boa molatinha de 16 annos, mui prendada, e se dá a contento para casa de família; e huma preta ama de leite, de muito boa conducta, com habilidades: na rua da Cadêa n. 54, sobrado.",,,,,,,,,,,,,,,,
8,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,pagem,,,M,14,,escravo,"Rua da Alfândega, 182",,"VENDE-SE por precisão, hum lindo moleque de 14 a 15 annos, proprio para pagem ou officio; na rua da Alfândega n. 182.",,,,,,,,,,,,,,,,
9,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,compra,oferecendo serviço,>1,,,,,,,,M,,,escravo,"Rua da Cadêa, 54",,COMPRÃO-SE escravos e escravas para fôra da província para huma encommenda: na rua da Cadêa n. 54.,,,,,,,,,,,,,,,,
10,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,"lavadeira, engomadeira, cozinheira",,,F,,preta,escrava,"Rua d'Ajuda, 66",,"VENDE-SE huma mocamba que sabe lavar, engommar liso, e cozinhar de forno e fogão; e hum moleque proprio para pagem, o qual tem 12 a 13 annos, e hum preto que terá 25 annos, o qual sabe cozinhar o trivial : na rua d'Ajuda n. 66, loja.",,,,,,,,,,,,,,,,
11,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,aluguel,oferecendo serviço,1,,,,,cozinheiro,,,M,,preto,,"Rua dos Siganos, 66",,ALUGA-SE hum preto cozinheiro: na rua dos Siganos n. 66.,,,,,,,,,,,,,,,,
12,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,450,,,,,,,F,,preto,escravo,"Rua da Valla, 89",,"VENDE-SE huma preta rapariga com habilidades, por 450$ réis e dá-se a contento; rua da Valla n. 89.",,,,,,,,,,,,,,,,
13,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,alfaiate,,,M,,,escravo,"Rua da Valla, 91",,"VENDEM-SE hum molecão alfaiate e huma preta de idade de 10 annos, para costura; na rua da Valla n. 91.",,,,,,,,,,,,,,,,
14,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,2,,,,,,,,M,,preto,escravo,"Rua de São José, 77",,"VENDEM-SE hum preto cozinheiro do trivial, de boa figura, e mais hum moleque para todo serviço; na rua de S. José n. 77, primeiro andar.",,,,,,,,,,,,,,,,
15,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,aluguel,oferecendo serviço,1,,,,,engomadeira,,,F,,preta,forra,"Rua Larga de São Joaquim, 99",,"ALUGA-SE huma crioula forra, para casa de alguma Sra. Viuva ou Sr. De idade, sabendo coser, engommar, e tomar conta de huma casa; na rua larga de S. Joaquim n. 99.",,,,,,,,,,,,,,,,
16,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,"engomadeira, lavadeira, cozinheira",,,F,20,preta,escrava,"Rua da Cadêa, 68",,"VENDE-SE huma mocamba de 20 annos, que cose, engomma, lava e cozinha perfeitamente: e huma parda de 30 annos com as mesmas prendas; na rua da Cadêa n. 68.",,,,,,,,,,,,,,,,
17,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,"engomadeira, lavadeira, cozinheira",,,F,,preta,escrava,"Rua da Alfândega, 81",,"VENDE-SE, na rua da Alfândega n. 81, huma rapariga de nação, sendo perfeita mocamba, e sabendo coser, engommar, e fazer todo o serviço interno de huma casa, declarando-se que ao comprador se dirá o motivo da venda.",,,,,,,,,,,,,,,,
18,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,,Engenho Velho,,"ALUGA-SE huma preta boa ama de leite; no Engenho Velho, chacara do Exm. Aragão.",,,,,,,,,,,,,,,,
19,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,aluguel,oferecendo serviço,1,,,,,lavador,,,M,,preto,,"Rua da Candelária, 10",,"QUEM tiver para alugar hum preto que saiba lavar, dirija-se á rua da Candelâria n. 10.",,,,,,,,,,,,,,,,
20,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,fuga,procurando serviço,1,,,,,,Marcelino,Mozambique,M,25,preto,escravo,"Rua dos Ourives, 49",,"Fugio no dia 16 do corrente mez de julho, hum preto de nome Marcellino, de nação Moçambique, idade de 25 annos, levando hum ferro e huma corrente no pé, e huma cesta com huma manta encarnada; he baixo do corpo, muito reforçado, cara seria, os dentes mal arranjados e alguns podres, pernas finas e hum pouco tortas, e os pés chatos. Quem delle der noticia, ou levar á rua dos Ourives n. 49, padaria franceza, será bem recompensado.",,,,,,,,,,,,,,,,
21,Jornal do Commercio,201,4,http://memoria.bn.br/DocReader/364568_03/790,1-Aug-1840,venda,oferecendo serviço,1,,,,,costureira,,,F,10,,escrava,"Rua da Valla, 91",,"VENDEM-SE hum molecão alfaiate e huma preta de idade de 10 annos, para costura; na rua da Valla n. 91.",,,,,,,,,,,,,,,,
22,Jornal do Commercio,203,4,http://memoria.bn.br/DocReader/364568_03/798,3-Aug-1840,venda,oferecendo serviço,">1
",,,Frederico Guilherme,M,,,,M/F,,,escravo,,,"FREDERICO GUILHERME fará leilão, 4 feira, de huma grande porção de escravos de ambos os sexos, os ques serao vendidos com condição de perfeita saude e fiança de boas vendas.",,,,,,,,,,,,,,,,
23,Jornal do Commercio,203,4,http://memoria.bn.br/DocReader/364568_03/798,3-Aug-1840,aluguel,procurando serviço,1,10$000,,,,serviço de casa,,,F,,preta,,"Rua do Sabão, 209",,"QUEM tiver huma preta que saiba engommar liso, lavar, cozinhar, comprar e todo o mais serviço de huma casa, e a pretenda alugar por 10$000 mensaes, pode mandar ou dirigir-se á rua do Sabão n. 209.",,,,,,,,,,,,,,,,
24,Jornal do Commercio,203,4,http://memoria.bn.br/DocReader/DocReader.aspx?bib=364568_03&PagFis=795,3-Aug-1840,venda,oferecendo serviço,1,,,,,alfaiate,,Calabar,M,,preto,escravo,"Rua do Parto, 119",,"VENDE-SE hum preto de nação Calabar, official de alfaiate, e que trabalha também de pintor, ensaboa, cozinha o diario de huma casa, e tem principios de engommado; a quem o quizer comprar se dirá o motivo porque se vende: na rua do Parto, n. 119.",,,,,,,,,,,,,,,,
25,Jornal do Commercio,203,4,http://memoria.bn.br/DocReader/DocReader.aspx?bib=364568_03&PagFis=795,3-Aug-1840,aluguel,procurando serviço,1,6$000,,,,,,,F,14,preta,,"Rua do Piolho, 36, loja",,"PRECISA-SE alugar huma negrinha de 14 annos, não excedendo de 6$000 rs. Mensaes o seu aluguel; na rua do Piolho n. 36, loja.",,,,,,,,,,,,,,,,
26,Jornal do Commercio,203,4,http://memoria.bn.br/DocReader/DocReader.aspx?bib=364568_03&PagFis=795,3-Aug-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,18,,escravo,"Rua da Cadêa, 68",,"VENDE-SE hum moleque de 18 annos, cozinheiro do ordinário, e próprio para pagem; e huma mocamba de 20 annos, que cose, engomma, lava e cozinha: na rua da Cadêa n. 68.",,,,,,,,,,,,,,,,
27,Jornal do Commercio,203,4,http://memoria.bn.br/DocReader/DocReader.aspx?bib=364568_03&PagFis=795,3-Aug-1840,compra,procurando serviço,">1
",,,,,,,,M,,,escravo,"Rua dos Ourives, 17",,"Comprão-se escravos de ambos os sexos, com officios e sem elles, os quaes se pagão bem; na rua dos Ourives n. 17.",,,,,,,,,,,,,,,,
28,Jornal do Commercio,203,4,http://memoria.bn.br/DocReader/DocReader.aspx?bib=364568_03&PagFis=795,3-Aug-1840,venda,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,escrava,"Rua da Cadêa, 54",,"Vende-se huma preta ama de leite, boa mocamba, e com muito bom leite; huma perfeita mocamba pardinha, de 16 annos, que se dá a contento para casa de família; huma preta de 19 annos, perfeita lavadeira e cozinheira, e hum preto de 27 annos, mestre de todas as plantações, o qual he marido da dita preta, e tem hum filho de 5 annos, estes vendem-se juntos; e huma preta mocamba, de 18 annos, só para fôra da província, a qual he mui prendada: no sobrado n. 54 da rua da Cadêa.",,,,,,,,,,,,,,,,
