Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,aluguel,oferecendo serviço,1,,,,,"ama de leite, costureira",,,F,,preta,escrava,"Arco do Teles, 14",,"Aluga-se huma preta ama, com muito bom leite, costureira, carinhosa, e com o mais que he preciso para pensar huma criança: no Arco do Telles n. 14, porta larga.",,,,,,,,,,,,,,,,
2,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,venda,oferecendo serviço,2,550$000,,,,"ama de leite, lavadeira, cozinheira",,,F,3 meses/indefinido,preta,escrava,"Rua de São Pedro, 19",,"Vende-se por precisão huma completa ama de leite, com muito bom leite do segundo parto, com huma cria de 3 mezes, e tao robusta que cria duas crianças ao mesmo tempo sem ter o menor incommodo; lava muito bem, he lavandeira de rio e cozinheira de forno e fogão; o seu ultimo preço são 550$rs.: vende-se mais outra preta, prejada de 3 mezes, com 1 cria de um ano e meio, que cozinha o ordinario, lava muito bem e engomma; o seu ultimo preço he 550$rs, na rua de S. Pedro n. 19; a ultima pode-se vender sem cria, (querendo) e por menos preço, pode-se dar sem a filha por menos 480$rs. menos nada.",,,,,,,,,,,,,,,,
3,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,compra,procurando serviço,1,,,,,boleiro,,,M,,preto/pardo,escravo,"Rua Nova do Livramento, 23",,"Compra-se na rua nova do Livramento n. 23, hum escravo pardo ou preto, que seja perítimo boleiro de 2 e 4 rodas.",,,,,,,,,,,,,,,,
4,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,aluguel,procurando serviço,1,,,,,cocheiro,,,M,,preto,escravo,"Campo de Santana, 11",,Precisa-se alugar hum preto cativo que seja bom cocheiro; no campo de Santa Anna n. 11.,,,,,,,,,,,,,,,,
5,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,venda,oferecendo serviço,1,,,,,"cozinheira, engomadeira, lavadeira, penteadeira",,,F,,,escrava,"Rua dos Latoeiros, 32",,"Vende-se huma escrava boa cozinheira de forno, fogão e massas, boa engommadeira, lavadeira de sabao e barrela, que veste e pentêa huma senhora, e tem mais prendas que à vista se dirão; he reforçada e saudavel, da-se a contento, e o motivo da venda se dirá ao comprador: na rua dos Latoeiros n. 32.",,,,,,,,,,,,,,,,
6,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,venda,oferecendo serviço,2,480$000,,,,"cozinheira, lavadeira",,,F,1 ano/indefinido,preta,escrava,"Rua de São Pedro, 19",,"Vende-se por precisão huma completa ama de leite, com muito bom leite do segundo parto, com huma cria de 3 mezes, e tao robusta que cria duas crianças ao mesmo tempo sem ter o menor incommodo; lava muito bem, he lavandeira de rio e cozinheira de forno e fogão; o seu ultimo preço são 550$rs.: vende-se mais outra preta, prejada de 3 mezes, com 1 cria de um ano e meio, que cozinha o ordinario, lava muito bem e engomma; o seu ultimo preço he 550$rs, na rua de S. Pedro n. 19; a ultima pode-se vender sem cria, (querendo) e por menos preço, pode-se dar sem a filha por menos 480$rs. menos nada.",,,,,,,,,,,,,,,,
7,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,compra,procurando serviço,1,,,,,cozinheiro,,,M,,,escravo,"Rua do Ouvidor, 16",,Compra-se hum moleque com principios de cozinha: na rua do Ouvidor n. 16.,,,,,,,,,,,,,,,,
8,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,venda,oferecendo serviço,1,,,,,"lavadeira, engomadeira, costureira, cozinheira, quitandeira",,Mina-Usá,F,20,preta,escrava,"Rua do Lavradio, 160",,"Vende-se huma preta de 20 a 22 annos de idade, de nação Mina-Usá, que sabe lavar, engommar, coser, cozinhar o diario de huma casa, fazer doce de toda a qualidade, e tambem he boa quitandeira de toda a quitanda; vende-se por precisão: quem a pretender dirija-se à rua do Lavradio n.160, que lá achará com quem tratar.",,,,,,,,,,,,,,,,
9,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,aluguel,oferecendo serviço,1,,,,,lavadeiro e engomadeiro,,,M,,preto,escravo,"Rua dos Pescadores, 74",,"Aluga-se, na rua dos Pescadores n. 74, loja, hum preto que lava e engomma com perfeiçao, e he de muito boa conducta.",,,,,,,,,,,,,,,,
10,Jornal do Commercio,29,4,http://memoria.bn.br/docreader/364568_03/116,2-Feb-1840,venda,oferecendo serviço,1,,,Archibald Lawrie,M,mestre cozinheiro,,,M,,preto,escravo,"Rua Direita, 6",,"A. Lawrie e C. previnem que, hoje sabbado 1º de fevereiro, na rua Direita n. 6, fazem leilão por conta da familia mencionada, constando de differentes cadeiras, mesas, aparadores, sofás, quadros, commodas, marquezas, toucadores, espelhos, escrevaninhas, guarda roupa, e outros artigos deste genero, etc.; hum piano para se aprender, trem de cozinha, e mais utensilios da mesma. Tambem de hum preto mestre cozinheiro, que reune todas as qualidades susceptiveis de exercer com perfeição este officio em qualquer casa superior; diversos animaes, e muitos outros artigos, o que tudo será vendido a quem mais der, pelo motivo da retirada da familía. Às 10 1/2 horas.",,,,,,,,,,,,,,,,
