Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,venda,oferecendo serviço,>1,,,Frederico Gulherme ,M ,"roceiros, pajem, canoeiro, alfaiate, pedreiro, sapateiro, pescador, lavadeiras, engomadeiras, costureiras, mocambas",,,,,,escravos,"Rua do Ouvidor, 84",,"Leilão de escravos de roça e com officio. Frederico Guilherme faz leilão, hoje quarta feria, ás 11 horas em ponto, na sua casa, rua do Ouvidor n. 81, de huma grande porção de escravos, sendo de diversos officios e de roça, entre os quaes achão-se hum robusto moleque de nação, de 16 a 18 annos, muito proprio para pagem e excellente canoeiro, muito humilde e sem vicio de qualidade algum; hum perito official de alfaiate de toda a obra; 1 preto de nação, excellente official de pedreiro, tambem de toda obra; 1 dito perfeito sapateiro, 1 pardo muito reforçado. mestre pescador, etc., etc.; lavadeiras, engommadeiras, costureiras, mocambas, lindos moleques e negrinhas, os quaes serão vendidos com condição de perfeitas saude e fiança de boas vendas.",,,,,,,,,,,,,,,,
2,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,venda,oferecendo serviço,>1,,,J. H. Bouis,M ,,,,,,,escravos,"Rua do Ouvidor, 90",,"Leilão de escravos. JH. BOUIS fará leilão sexta feira 3 do corrente, em sua casa, de huma porçao de escravos de ambos os sexos, com officios ou sem elles, affiançados de saude e boa conducta.",,,,,,,,,,,,,,,,
3,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,venda,oferecendo serviço,1,,,,,tanoeiro,,,M ,,preto,escravo,"Arco do Telles, 13",,"VENDE-SE hum preto tanoeiro, no Arco do Telles n. 13.",,,,,,,,,,,,,,,,
4,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,compra/aluguel,procurando serviço ,1,,,,,ama de leite,,,F ,,,escrava,"Rua da Pedreira da Glória, 112",,"COMPRA-SE, ou aluga-se, huma ama de leite: na rua da Pedreira da Gloria n. 12. Na mesma casa vende-se huma boa preta sabendo engommar, lavar e cozinhar, sem defeito nem vicio, o que se affiança.",,,,,,,,,,,,,,,,
5,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,venda,oferecendo serviço,1,,,,,"engomadeira, lavadeira, cozinheira",,,F ,,preta,escrava,"Rua da Pedreira da Glória, 112",,"COMPRA-SE, ou aluga-se, huma ama de leite: na rua da Pedreira da Gloria n. 12. Na mesma casa vende-se huma boa preta sabendo engommar, lavar e cozinhar, sem defeito nem vicio, o que se affiança.",,,,,,,,,,,,,,,,
6,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,fuga,,1,,,,,alfaiate,Paulo,crioulo,M ,24,preto,escravo,"Rua do Catete, 245",,"FUGIO, na manhãa do dia 11 de maio do corrente anno, um escravo crioulo, de 24 annos de idade pouco mais ou menos, de nome Paulo, com officio de alfaiate, e dos signaes seguintes: bastante preto, olhos alguma cousa vesgos, falla grossa: levou calças e camisa branca, e jaqueta de brim escuro: quem o levar á casa de seu senhor, na rua do Catete n. 245. será recompensado; assim como se protesta contra quem o tiver acoutado.",,,,,,,,,,,,,,,,
7,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,venda,oferecendo serviço,1,,,,,pedreiro,,,M,16,,escravo,"Rua do Porto, 102",,"VENDE-SE hum bonito moleque de 16 annos, official de pedreiro de toda a obra, do qual affiança-se a conducta; na rua do Porto n. 102.",,,,,,,,,,,,,,,,
8,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,venda,oferecendo serviço,1,,,,,"pajem, alfaiate",,,M,16,pardo,escravo,"Rua de São José, 77, 1º andar",,"VENDE SE hum pardinho de 16 a 17 annos, proprio para pagem por ser de bonita figura, e com principios de alfaiate; na rua de S. José n. 77, primeiro andar.",,,,,,,,,,,,,,,,
9,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,aluguel,oferecendo serviço,1,,,,,"lavadeira, engomadeira, cozinheira",,,F,,preta,escrava,"Rua do Sabão, 387",,"ALUGA-SE huma preta que lava, engomma liso e cozinha o trivial; quem a pretender dirija-se á rua do Sabão n. 387, prefere-se casa franceza por estar acostumada nestas casas.",,,,,,,,,,,,,,,,
10,Jornal do Commercio,171,4,http://memoria.bn.br/DocReader/364568_03/670,1-Jul-1840,venda,oferecendo serviço,1,,,,,lavadeira ,,,F,,preta,escrava,"Rua de São José, 77, 1º andar",,"VENDE-SE huma boa preta reforçada, boa lavadeira de rio, sem vicio algum, o que se affiança; assim mais huma outra que cose, engomma, lava, e faz todo o serviço de huma casa; na rua de S. José n. 77, 1.º andar.",,,,,,,,,,,,,,,,
