Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,compra ,procurando serviço,1,,,,,"lavadeira, engomadeira e cozinheira",,,F,,preta,escrava,"Rua do Piolho, canto do Largo do Rocio, 146",,"PRECISA-SE de huma preta que saiba lavar, engommar e cozinhar; quem a tiver póde dirigir-se á rua do Piolho, canto do largo do Rocio, n. 146. ",,,,,,,,,,,,,,,,
2,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,venda,oferecendo serviço / procurando serviço,1,250$000,,,,"cozinheira, lavadeira, faz compras, carrega água e vende quitanda ",,,F,,preta,escrava,"Rua de São José, 10",,"VENDE-SE, por 250$ rs., huma boa preta de nação, que cozinha, lava muito bem, faz compras, carrega agua, vende quitanda, não tem vicios, e só se vende por precisão; na rua de S. José n. 10. ",,,,,,,,,,,,,,,,
3,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,venda,oferecendo serviço ,1,,,,,"cozinheira, lavadeira e engomadeira",,,F,,preta,escrava,"Rua Nova do Livramento, 58",,"VENDE-SE huma preta boa cozinheira, que lava de barrela e sabão, e engomma; na rua nova do Livramento n. 58",,,,,,,,,,,,,,,,
4,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,venda,oferecendo serviço,1,,,,,"lavadeira, cozinheira e quitandeira ",,,F,,preta,escrava,"Rua da Misericorida, 60",,"VENDE-SE huma preta de boa figura, que lava, cozinha e quitanda; na rua da Misericórdia n. 60. ",,,,,,,,,,,,,,,,
5,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,venda,oferecendo serviço,1,,,,,pintor,,,M,,,escravo,"Rua de São José, 72",,"VENDE-SE molecote sem ponta de barba, de boa figura, official de pintor; na rua de S. José n. 72. ",,,,,,,,,,,,,,,,
6,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,aluguel ,procurando serviço,1,,,,,chacareiro,,,M,,preto,escravo,"Praia do Flamengo, 44",,"ALUGA-SE hum preto chacareiro que sabe tratar de horta ou jardim, e tambem de animaes, e fazer outros serviços; na praia do Flamengo n. 44. ",,,,,,,,,,,,,,,,
7,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F ,10,,,"Rua do Hospício, 125",,"ALUGA-SE , na rua do Hospício n. 125, huma boa ama de leite, e na mesma casa vende-se hum bonito moleque de idade de 10 para 11 annos, com bons principios de carpinteiro de machado. ",,,,,,,,,,,,,,,,
8,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,venda,oferecendo serviço,1,,,,,carpinteiro de machado,,,M,11,,,"Rua do Hospício,125",,"ALUGA-SE , na rua do Hospício n. 125, huma boa ama de leite, e na mesma casa vende-se hum bonito moleque de idade de 10 para 11 annos, com bons principios de carpinteiro de machado. ",,,,,,,,,,,,,,,,
9,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,aluguel,oferecendo serviço,1,,,,,"costureira, engomadeira e cozinheira",,,F,,preta,escrava,"Rua da Quitanda, 153",,"ALUGA-SE huma preta que cose, engomma, cozinha alguma cousa e lava muito bem; na rua da Quitanda n. 153. ",,,,,,,,,,,,,,,,
10,Jornal do Commercio ,231,4,http://memoria.bn.br/DocReader/364568_03/912,1-Sep-1840,aluguel,procurando serviço,1,,,,,carregador de água e carretos,,,M,,preto,escravo,"Rua de São Pedro, 68",,"PRECISA-SE alugar, na rua S. Pedro n. 68, hum preto para carregar agua e carretos. ",,,,,,,,,,,,,,,,
